10,,10,,10,,10,,10,,10,,10,,10,,10,,10,
Manual run 4:10_UV,,Manual run 4:10_Cond,,Manual run 4:10_Cond%,,Manual run 4:10_Conc,,Manual run 4:10_Pressure,,Manual run 4:10_Flow,,Manual run 4:10_Temp,,Manual run 4:10_Fractions,,Manual run 4:10_Inject,,Manual run 4:10_Logbook,
ml, mAU,ml, mS/cm,ml, %,ml, %B,ml, MPa,ml, ml/min,ml, °C,ml,(Fractions),ml,(Injections),ml,(Set Marks)
21.93,13.96,21.93,19.52,21.93,19.50,21.93,100.00,21.93,0.36,21.93,1.00,21.93,8.00,,,,,,
22.06,13.91,22.06,19.52,22.06,19.50,22.06,100.00,22.06,0.36,22.06,1.00,22.06,8.00,,,,,,
22.19,13.92,22.19,19.51,22.19,19.50,22.19,100.00,22.19,0.36,22.19,1.00,22.19,7.90,,,,,,
22.32,13.93,22.32,19.50,22.32,19.50,22.32,100.00,22.32,0.36,22.32,1.00,22.32,7.90,,,,,,
22.45,13.99,22.45,19.49,22.45,19.50,22.45,100.00,22.45,0.36,22.45,1.00,22.45,7.90,,,,,,
22.58,14.10,22.58,19.50,22.58,19.50,22.58,100.00,22.58,0.36,22.58,1.00,22.58,7.90,,,,,,
22.71,14.02,22.71,19.48,22.71,19.50,22.71,100.00,22.71,0.36,22.71,1.00,22.71,7.90,,,,,,
22.84,14.10,22.84,19.50,22.84,19.50,22.84,100.00,22.84,0.37,22.84,1.00,22.84,7.90,,,,,,
22.97,13.95,22.97,19.48,22.97,19.50,22.97,100.00,22.97,0.36,22.97,1.00,22.97,7.90,,,,,,
23.10,14.27,23.10,19.48,23.10,19.50,23.10,100.00,23.10,0.36,23.10,1.00,23.10,7.90,,,,,,
23.23,14.09,23.23,19.48,23.23,19.50,23.23,100.00,23.23,0.37,23.23,1.00,23.23,7.90,,,,,,
23.36,14.19,23.36,19.48,23.36,19.50,23.36,100.00,23.36,0.37,23.36,1.00,23.36,7.90,,,,,,
23.49,14.18,23.49,19.48,23.49,19.50,23.49,100.00,23.49,0.37,23.49,1.00,23.49,7.90,,,,,,
23.62,14.26,23.62,19.46,23.62,19.50,23.62,100.00,23.62,0.36,23.62,1.00,23.62,7.90,,,,,,
23.75,14.23,23.75,19.46,23.74,19.50,23.74,100.00,23.74,0.36,23.75,1.00,23.75,7.90,,,,,,
23.88,14.27,23.88,19.46,23.87,19.50,23.87,100.00,23.87,0.36,23.88,1.00,23.88,7.90,,,,,,
24.01,14.28,24.00,19.46,24.00,19.50,24.00,100.00,24.00,0.37,24.00,1.00,24.00,7.90,,,,,,
24.14,14.36,24.13,19.46,24.13,19.50,24.13,100.00,24.13,0.37,24.13,1.00,24.13,7.80,,,,,,
24.27,14.37,24.26,19.47,24.26,19.50,24.26,100.00,24.26,0.36,24.26,1.00,24.26,7.80,,,,,,
24.39,14.33,24.39,19.46,24.39,19.50,24.39,100.00,24.39,0.37,24.39,1.00,24.39,7.80,,,,,,
24.52,14.43,24.52,19.46,24.52,19.50,24.52,100.00,24.52,0.36,24.52,1.00,24.52,7.80,,,,,,
24.65,14.46,24.65,19.47,24.65,19.50,24.65,100.00,24.65,0.37,24.65,1.00,24.65,7.80,,,,,,
24.78,14.46,24.78,19.47,24.78,19.50,24.78,100.00,24.78,0.36,24.78,1.00,24.78,7.80,,,,,,
24.91,14.57,24.91,19.46,24.91,19.50,24.91,100.00,24.91,0.36,24.91,1.00,24.91,7.80,,,,,,
25.04,14.56,25.04,19.46,25.04,19.50,25.04,100.00,25.04,0.36,25.04,1.00,25.04,7.80,,,,,,
25.17,14.61,25.17,19.45,25.17,19.50,25.17,100.00,25.17,0.36,25.17,1.00,25.17,7.80,,,,,,
25.30,14.57,25.30,19.45,25.30,19.40,25.30,100.00,25.30,0.36,25.30,1.00,25.30,7.80,,,,,,
25.43,14.63,25.43,19.45,25.43,19.50,25.43,100.00,25.43,0.36,25.43,1.00,25.43,7.80,,,,,,
